seller_state,customer_state,n,avg_promise,avg_actual,avg_gap,ontime_rate
PR,PI,25,31.33,17.8,13.53,0.92
PR,PR,714,20.0,8.23,11.77,0.9566
PR,RJ,963,29.75,17.31,12.44,0.8598
PR,RN,20,35.08,24.74,10.33,0.85
PR,RO,18,38.4,17.71,20.7,1.0
PR,RS,576,26.16,13.37,12.79,0.9479
PR,SC,390,25.08,13.38,11.7,0.9333
PR,SE,21,34.27,23.18,11.09,0.8095
PR,SP,2924,25.58,11.17,14.42,0.9644
PR,TO,15,34.13,22.81,11.32,0.8
RJ,AL,13,32.91,24.07,8.84,0.8462
RJ,BA,135,27.05,16.94,10.11,0.8889
RJ,CE,54,30.66,24.92,5.74,0.7778
RJ,DF,96,25.34,14.44,10.91,0.9167
RJ,ES,99,25.81,12.62,13.2,0.9798
RJ,GO,109,29.07,15.08,13.99,0.9266
RJ,MA,28,30.14,20.46,9.69,0.8929
RJ,MG,551,24.62,12.2,12.43,0.9274
RJ,MS,32,25.71,16.8,8.91,0.875
RJ,MT,29,34.09,21.57,12.52,0.8966
RJ,PA,37,36.3,21.61,14.69,0.9459
RJ,PB,24,30.14,14.78,15.37,1.0
RJ,PE,91,27.23,17.0,10.23,0.8681
RJ,PI,22,29.06,17.25,11.81,0.8636
RJ,PR,202,25.95,12.93,13.02,0.9109
RJ,RJ,956,19.0,6.61,12.39,0.9351
RJ,RN,22,30.2,17.95,12.24,0.8636
RJ,RO,13,37.49,27.78,9.71,0.8462
RJ,RS,198,26.48,15.79,10.69,0.904
RJ,SC,113,26.9,15.05,11.85,0.8938
RJ,SE,18,28.52,18.05,10.47,0.8333
RJ,SP,1320,22.83,11.83,11.0,0.9091
RJ,TO,13,28.8,15.51,13.29,0.9231
RN,RN,21,19.52,4.78,14.74,1.0
RS,AL,10,34.83,19.95,14.88,1.0
RS,BA,42,29.86,20.97,8.9,0.8333
RS,CE,12,34.01,17.06,16.95,0.8333
RS,DF,47,29.12,13.54,15.58,0.9787
RS,ES,24,28.72,12.49,16.23,0.9583
RS,GO,23,35.34,16.26,19.07,1.0
RS,MA,14,35.84,24.61,11.24,0.7143
RS,MG,187,30.3,11.79,18.51,0.9733
RS,MS,16,27.86,14.02,13.84,1.0
RS,MT,22,32.39,16.13,16.26,0.9545
RS,PA,21,41.09,24.58,16.51,0.9524
RS,PE,17,33.75,22.28,11.47,0.8235
RS,PI,11,36.55,15.78,20.78,1.0
RS,PR,138,23.15,10.39,12.75,0.9493
RS,RJ,246,28.55,14.1,14.45,0.9146
RS,RO,10,37.94,15.56,22.39,1.0
RS,RS,288,18.19,7.41,10.78,0.9479
RS,SC,116,23.87,9.37,14.5,1.0
RS,SP,667,28.11,10.14,17.97,0.9775
SC,AL,11,36.71,22.61,14.1,1.0
SC,BA,77,31.03,20.7,10.34,0.8701
SC,CE,22,35.13,27.84,7.28,0.7273
SC,DF,69,26.94,13.26,13.68,0.9855
SC,ES,50,29.75,14.85,14.9,0.96
SC,GO,55,31.89,17.84,14.05,0.9091
SC,MA,19,34.34,24.28,10.06,0.7895
SC,MG,428,29.83,14.71,15.13,0.9486
SC,MS,31,29.04,14.97,14.07,0.9677
SC,MT,26,33.07,21.07,12.0,0.8846
SC,PA,19,42.07,25.29,16.79,0.8947
SC,PB,18,35.24,26.84,8.41,0.8333
SC,PE,38,31.85,19.66,12.19,0.9474
SC,PI,19,32.3,22.08,10.22,0.8421
SC,PR,285,24.78,11.09,13.69,0.9684
SC,RJ,470,29.1,16.38,12.72,0.8979
SC,RN,14,36.75,19.34,17.41,0.9286
SC,RS,293,24.76,12.89,11.87,0.9386
SC,SC,255,19.06,8.59,10.47,0.9373
SC,SE,15,32.74,22.59,10.15,0.9333
SC,SP,1305,26.04,12.08,13.96,0.9563
SC,TO,11,33.12,19.08,14.04,0.9091
SP,AC,57,40.68,20.77,19.91,0.9649
