seller_state,customer_state,n,mean_days,median_days,p90_days,pct_in_10d
SP,AP,49,28.1,23.68,35.28,2.04
SP,BA,2307,19.81,17.69,32.13,11.36
SP,CE,969,21.26,18.36,33.89,7.95
SP,DF,1383,13.26,11.75,22.17,38.47
SP,ES,1461,15.79,13.59,25.84,24.98
SP,GO,1420,16.02,14.06,25.36,21.34
SP,MA,491,22.07,19.57,35.02,5.5
SP,MG,7440,12.36,10.8,20.77,44.01
SP,MS,477,15.95,14.03,26.17,22.64
SP,MT,653,17.73,15.63,27.17,11.49
SP,PA,681,23.28,20.89,40.27,6.75
SP,PB,336,20.68,18.78,34.92,8.93
SP,PE,1133,18.92,15.95,31.54,15.53
SP,PI,329,20.34,16.77,32.21,9.12
SP,PR,3119,12.78,11.1,21.2,41.23
SP,RJ,8158,16.28,12.84,30.91,33.37
SP,RN,332,20.46,17.77,34.23,10.54
SP,RO,169,19.38,18.02,29.68,6.51
SP,RR,33,31.62,26.2,53.22,15.15
SP,RS,3596,16.17,13.89,27.06,24.28
SP,SC,2327,15.83,13.86,26.96,26.09
SP,SE,208,21.32,17.83,36.21,12.98
SP,SP,30735,7.95,6.55,14.28,75.8
SP,TO,198,17.75,15.88,28.04,11.62
